Year,Month,ENSO,NAO
2009,5,-0.2,1.68
2010,5,1.5,-1.49
2011,5,0.6,-0.06
2012,5,0.1,-0.91
2013,5,1.3,0.57
2014,5,0.9,-0.92
2015,5,-1.2,0.15
2016,5,0.7,-0.77
2017,5,0.4,-1.91
2018,5,0.6,2.12
2019,5,-0.7,-2.62
2020,5,0.7,-0.41
2021,5,0.8,-1.24
2022,5,2.4,0.71
2023,5,-1.7,0.39
2024,5,0.8,-0.44
2025,5,0.7,0.49
1951,6,0.3,-1.64
1952,6,1.2,-0.4
1953,6,0.2,1.09
1954,6,0.2,-0.25
1955,6,2.2,-1.1
1956,6,1.8,0.1
1957,6,0.3,-0.72
1958,6,0.5,-1.38
1959,6,-0.2,0.4
1960,6,0.2,-0.21
1961,6,0.2,0.86
1962,6,1.2,0.16
1963,6,-0.8,-0.43
1964,6,1.2,1.29
1965,6,-0.9,0.29
1966,6,0.5,1.05
1967,6,1.1,1.4
1968,6,1.8,0.33
1969,6,0.3,0.55
1970,6,1.6,1.55
1971,6,0.7,-1.57
1972,6,-0.9,0.88
1973,6,1.8,0.39
1974,6,0.7,-0.14
1975,6,2.1,-0.84
1976,6,0.4,0.8
1977,6,-1.5,-0.57
1978,6,1.1,1.38
1979,6,1.1,1.6
1980,6,-0.0,-0.37
1981,6,2.0,-0.45
1982,6,-1.7,-1.63
1983,6,0.1,0.99
1984,6,-0.6,-0.42
1985,6,-0.6,-0.8
1986,6,1.6,1.22
1987,6,-1.8,-1.82
1988,6,0.1,0.88
1989,6,1.2,-0.27
1990,6,0.5,-0.02
1991,6,-0.2,-0.82
1992,6,-1.0,0.2
1993,6,-1.4,-0.59
1994,6,-0.7,1.52
1995,6,0.2,0.13
1996,6,1.9,0.56
1997,6,-2.3,-1.47
1998,6,1.6,-2.72
1999,6,0.4,1.12
2000,6,-0.3,-0.03
2001,6,0.5,-0.2
2002,6,-0.4,0.38
2003,6,-1.0,-0.07
2004,6,-1.4,-0.89
2005,6,0.7,-0.05
2006,6,-0.4,0.84
2007,6,0.9,-1.31
2008,6,1.0,-1.39
2009,6,0.2,-1.21
2010,6,0.6,-0.82
2011,6,0.4,-1.28
2012,6,-0.7,-2.53
2013,6,2.0,0.52
2014,6,0.3,-0.97
2015,6,-0.9,-0.07
2016,6,1.1,-0.43
2017,6,-0.7,0.05
2018,6,-0.2,1.09
2019,6,-0.7,-1.09
2020,6,-0.6,-0.15
2021,6,0.7,0.77
2022,6,2.8,-0.12
2023,6,0.4,-0.58
2024,6,0.1,-0.09
2025,6,0.5,0.7
1951,7,-1.7,1.37
1952,7,0.8,-0.09
1953,7,-0.0,0.4
1954,7,0.7,-0.6
1955,7,2.6,1.76
1956,7,1.8,-0.75
1957,7,0.4,-1.19
1958,7,0.7,-1.73
1959,7,-0.4,0.74
1960,7,0.8,0.35
1961,7,0.4,-0.39
1962,7,0.1,-2.47
1963,7,-0.2,-0.77
1964,7,0.9,1.9
1965,7,-3.0,0.32
1966,7,0.1,0.32
1967,7,0.3,0.41
1968,7,1.1,-0.8
1969,7,-0.8,0.57
1970,7,-0.6,0.1
1971,7,0.4,0.24
1972,7,-2.4,0.18
1973,7,1.0,0.57
1974,7,1.9,-0.76
1975,7,3.1,1.55
1976,7,-1.4,-0.32
1977,7,-1.9,-0.45
1978,7,0.9,-1.14
1979,7,2.2,0.83
1980,7,-0.1,-0.42
1981,7,1.4,0.05
1982,7,-2.5,1.15
1983,7,-1.0,1.19
1984,7,0.3,-0.07
1985,7,-0.2,1.22
1986,7,0.5,0.12
1987,7,-2.2,0.52
1988,7,1.7,-0.35
1989,7,1.5,0.97
1990,7,0.9,0.53
1991,7,0.0,-0.49
1992,7,-1.0,0.16
1993,7,-1.3,-3.18
1994,7,-2.2,1.31
1995,7,0.7,-0.22
1996,7,1.1,0.67
1997,7,-1.2,0.34
1998,7,2.0,-0.48
1999,7,0.9,-0.9
2000,7,-0.3,-1.03
2001,7,-0.3,-0.25
2002,7,-0.8,0.62
2003,7,0.5,0.13
2004,7,-0.8,1.13
2005,7,0.3,-0.51
2006,7,-1.0,0.9
2007,7,-0.5,-0.58
2008,7,0.5,-1.27
2009,7,0.4,-2.15
2010,7,3.0,-0.42
2011,7,1.6,-1.51
2012,7,-0.1,-1.32
2013,7,1.3,0.67
2014,7,-0.3,0.18
2015,7,-1.9,-3.18
2016,7,0.7,-1.76
2017,7,1.3,1.26
2018,7,0.4,1.39
2019,7,-0.6,-1.43
2020,7,0.7,-1.23
2021,7,2.3,0.03
2022,7,1.3,-0.09
2023,7,-0.4,-2.17
2024,7,-1.2,1.46
2025,7,1.0,0.48
1951,8,-0.4,-0.22
1952,8,0.1,-0.28
1953,8,-2.0,-0.71
1954,8,1.8,-1.9
1955,8,2.4,1.07
1956,8,2.0,-1.37
1957,8,-0.8,-0.55
1958,8,1.5,-1.56
1959,8,-0.2,0.06
1960,8,1.3,-1.4
1961,8,0.2,0.9
1962,8,1.0,0.14
1963,8,0.0,-0.64
1964,8,2.5,-1.77
1965,8,-1.1,0.45
1966,8,1.1,-1.76
1967,8,1.2,1.44
1968,8,0.4,-0.66
1969,8,-0.2,-1.45
1970,8,1.0,0.1
1971,8,2.5,1.55
1972,8,-0.8,1.32
1973,8,2.1,-0.06
1974,8,1.3,-0.64
1975,8,3.3,-0.26
1976,8,-1.3,1.92
1977,8,-1.3,-0.28
1978,8,0.7,0.64
1979,8,-0.3,0.96
1980,8,0.6,-2.24
1981,8,1.2,0.39
1982,8,-2.9,0.26
1983,8,0.2,1.61
1984,8,0.7,1.15
1985,8,1.6,-0.48
1986,8,-0.6,-1.09
1987,8,-1.5,-0.83
1988,8,2.5,0.04
1989,8,-0.5,0.01
1990,8,-0.3,0.97
1991,8,-0.7,1.23
1992,8,0.6,0.85
1993,8,-1.6,0.12
1994,8,-2.0,0.38
1995,8,0.5,0.69
1996,8,1.2,1.02
1997,8,-2.4,0.83
1998,8,1.9,-0.02
1999,8,0.6,0.39
2000,8,1.2,-0.29
2001,8,-0.7,-0.07
2002,8,-1.6,0.38
2003,8,0.2,-0.07
2004,8,-0.5,-0.48
2005,8,-0.6,0.37
2006,8,-1.7,-1.73
2007,8,0.7,-0.14
2008,8,1.7,-1.16
2009,8,-0.3,-0.19
2010,8,3.0,-1.22
2011,8,0.7,-1.35
2012,8,-0.3,-0.98
2013,8,0.3,0.97
2014,8,-1.2,-1.68
2015,8,-2.4,-0.76
2016,8,1.2,-1.65
2017,8,0.9,-1.1
2018,8,-0.5,1.97
2019,8,-0.2,-1.17
2020,8,1.8,0.12
2021,8,1.0,-0.28
2022,8,1.7,1.47
2023,8,-1.4,-1.16
2024,8,1.5,0.63
2025,8,0.7,0.26
1951,9,-1.8,-1.36
1952,9,-0.4,-0.54
1953,9,-2.1,-0.35
1954,9,0.3,-0.44
1955,9,2.2,0.32
1956,9,0.1,0.24
1957,9,-1.5,-1.66
1958,9,-0.5,-0.07
1959,9,0.0,0.88
1960,9,1.1,0.39
1961,9,0.1,1.24
1962,9,0.7,-0.37
1963,9,-1.0,1.79
1964,9,2.1,0.2
1965,9,-2.2,0.37
1966,9,-0.4,-0.45
1967,9,0.8,0.93
1968,9,-0.4,-1.92
1969,9,-1.6,2.07
1970,9,1.9,-0.09
1971,9,2.3,0.39
1972,9,-2.2,-0.12
1973,9,2.0,-0.3
1974,9,1.8,0.82
1975,9,3.4,1.56
1976,9,-1.9,-1.29
1977,9,-1.3,0.37
1978,9,0.1,0.46
1979,9,0.2,1.01
1980,9,-0.8,0.66
1981,9,0.5,-1.45
1982,9,-2.9,1.76
1983,9,1.4,-1.12
1984,9,0.2,0.17
1985,9,0.0,-0.52
1986,9,-0.8,-1.12
1987,9,-1.7,-1.22
1988,9,3.0,-0.99
1989,9,0.8,2.05
1990,9,-1.2,1.06
1991,9,-2.5,0.48
1992,9,0.1,-0.44
1993,9,-1.2,-0.57
1994,9,-2.6,-1.32
1995,9,0.4,0.31
1996,9,1.0,-0.86
1997,9,-2.4,0.61
1998,9,1.7,-2.0
1999,9,-0.1,0.36
2000,9,1.4,-0.21
2001,9,0.3,-0.65
2002,9,-1.0,-0.7
2003,9,-0.2,0.01
2004,9,-0.6,0.38
2005,9,0.6,0.63
2006,9,-1.0,-1.62
2007,9,0.3,0.72
2008,9,2.0,1.02
2009,9,0.5,1.51
2010,9,3.7,-0.79
2011,9,1.7,0.54
2012,9,0.4,-0.59
2013,9,0.5,0.24
2014,9,-1.2,1.62
2015,9,-2.7,-0.65
2016,9,2.0,0.61
2017,9,1.0,-0.61
2018,9,-1.5,1.67
2019,9,-1.9,-0.16
2020,9,1.5,0.98
2021,9,1.3,-0.21
2022,9,2.7,-1.61
2023,9,-2.1,-0.44
2024,9,-0.2,-1.43
2025,9,0.1,-0.8
1951,10,-1.6,1.87
1952,10,0.6,-0.73
1953,10,0.1,1.32
1954,10,0.4,0.6
1955,10,2.5,-1.47
1956,10,2.9,0.88
1957,10,0.1,1.32
1958,10,0.1,0.16
1959,10,0.8,0.89
1960,10,0.2,-1.73
1961,10,-0.5,0.51
1962,10,1.6,0.41
1963,10,-2.0,0.94
1964,10,2.2,0.74
1965,10,-1.5,0.38
1966,10,-0.2,-0.68
1967,10,0.1,0.07
1968,10,-0.1,-2.3
1969,10,-1.5,0.66
1970,10,1.7,-0.92
1971,10,2.8,0.58
1972,10,-1.5,1.09
1973,10,1.3,-1.24
1974,10,1.5,0.49
1975,10,2.8,-0.54
1976,10,0.7,-0.08
1977,10,-1.7,0.52
1978,10,-0.6,1.93
1979,10,-0.2,-0.3
1980,10,0.0,-1.77
1981,10,-0.6,-1.35
1982,10,-2.8,-0.74
1983,10,0.7,0.65
1984,10,-0.5,-0.07
1985,10,-0.6,0.9
1986,10,1.1,1.55
1987,10,-0.6,0.14
1988,10,2.3,-1.08
1989,10,1.3,-0.03
1990,10,0.4,0.23
1991,10,-1.7,-0.19
1992,10,-2.3,-1.76
1993,10,-1.8,-0.71
1994,10,-1.9,-0.97
1995,10,0.0,0.19
1996,10,1.0,-0.33
1997,10,-2.4,-1.7
1998,10,1.8,-0.29
1999,10,1.6,0.2
2000,10,1.8,0.92
2001,10,-0.1,-0.24
2002,10,-0.6,-2.28
2003,10,0.0,-1.26
2004,10,-0.1,-1.1
2005,10,2.0,-0.98
2006,10,-2.1,-2.24
2007,10,1.2,0.45
2008,10,2.1,-0.04
2009,10,-2.0,-1.03
2010,10,2.9,-0.93
2011,10,1.2,0.39
2012,10,0.5,-2.06
2013,10,-0.1,-1.28
2014,10,-1.0,-1.27
2015,10,-2.8,0.44
2016,10,-0.4,0.41
2017,10,1.5,0.19
2018,10,0.6,0.93
2019,10,-0.6,-1.41
2020,10,0.8,-0.65
2021,10,1.2,-2.29
2022,10,2.8,-0.72
2023,10,-0.8,-2.03
2024,10,0.8,-0.38
2025,10,1.9,-0.96
1951,11,-1.3,-0.39
1952,11,0.0,-1.13
1953,11,-0.5,1.04
1954,11,0.2,0.4
1955,11,2.0,-1.29
1956,11,0.2,0.51
1957,11,-1.6,0.73
1958,11,-0.7,1.64
1959,11,1.5,0.41
1960,11,0.9,-0.51
1961,11,0.9,-0.62
1962,11,0.5,-0.23
1963,11,-1.4,-1.27
1964,11,0.3,-0.01
1965,11,-2.4,-1.66
1966,11,-0.0,-0.04
1967,11,-0.7,0.6
1968,11,-0.6,-0.93
1969,11,-0.1,-0.96
1970,11,2.6,-0.6
1971,11,0.9,-0.2
1972,11,-0.6,0.54
1973,11,4.3,-0.93
1974,11,-0.2,-0.54
1975,11,1.9,0.41
1976,11,1.2,0.17
1977,11,-2.1,-0.07
1978,11,-0.0,3.04
1979,11,-0.7,0.53
1980,11,-0.6,-0.37
1981,11,0.3,-0.38
1982,11,-4.3,1.6
1983,11,-0.2,-0.98
1984,11,0.4,-0.06
1985,11,-0.3,-0.67
1986,11,-2.0,2.29
1987,11,-0.0,0.18
1988,11,2.8,-0.34
1989,11,-0.4,0.16
1990,11,-0.8,-0.24
1991,11,-1.1,0.48
1992,11,-1.1,1.19
1993,11,-0.1,2.56
1994,11,-0.9,0.64
1995,11,0.1,-1.38
1996,11,-0.1,-0.56
1997,11,-2.0,-0.9
1998,11,1.7,-0.28
1999,11,1.7,0.65
2000,11,3.0,-0.92
2001,11,1.1,0.63
2002,11,-0.7,-0.18
2003,11,-0.5,0.86
2004,11,-1.1,0.73
2005,11,-0.3,-0.31
2006,11,0.1,0.44
2007,11,1.4,0.58
2008,11,2.2,-0.32
2009,11,-1.0,-0.02
2010,11,2.1,-1.62
2011,11,1.8,1.36
2012,11,0.4,-0.58
2013,11,1.2,0.9
2014,11,-1.5,0.68
2015,11,-0.8,1.74
2016,11,-0.2,-0.16
2017,11,1.5,-0.0
2018,11,-0.1,-0.11
2019,11,-1.4,0.28
