index,time,SWE_monthly,Seasonal_Year,SWE_1mo,month,Gringorten_p,SWEI,station_id,lon,lat,Elevation_Category
59,1988-01-01,2682.375,1987,2682.375,1,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
60,1988-02-01,3774.625,1987,3774.625,2,0.17135086128739802,-0.9488405343440052,1,-116.138,51.3346,2000_2500m
61,1988-03-01,5132.5,1987,5132.5,3,0.21668177697189486,-0.783448893414017,1,-116.138,51.3346,2000_2500m
62,1988-04-01,6000.1787,1987,6000.1787,4,0.46600181323662737,-0.08532423319968174,1,-116.138,51.3346,2000_2500m
63,1988-05-01,4996.309572,1987,4996.309572,5,0.556663644605621,0.14251565992903922,1,-116.138,51.3346,2000_2500m
64,1988-10-01,361.29296847,1988,361.29296847,10,0.556663644605621,0.14251565992903922,1,-116.138,51.3346,2000_2500m
65,1988-11-01,1303.750427,1988,1303.750427,11,0.5339981867633726,0.08532423319968174,1,-116.138,51.3346,2000_2500m
66,1988-12-01,2410.375,1988,2410.375,12,0.46600181323662737,-0.08532423319968174,1,-116.138,51.3346,2000_2500m
67,1989-01-01,4310.375,1988,4310.375,1,0.6699909338168631,0.4398881313909657,1,-116.138,51.3346,2000_2500m
68,1989-02-01,5106.375,1988,5106.375,2,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
69,1989-03-01,7269.125,1988,7269.125,3,0.7833182230281053,0.7834488934140175,1,-116.138,51.3346,2000_2500m
70,1989-04-01,7972.125,1988,7972.125,4,0.8966455122393473,1.2626667296332,1,-116.138,51.3346,2000_2500m
71,1989-05-01,7086.43554,1988,7086.43554,5,0.8513145965548505,1.0420881611080308,1,-116.138,51.3346,2000_2500m
72,1989-10-01,491.39794919999997,1989,491.39794919999997,10,0.6926563916591115,0.5033941031815276,1,-116.138,51.3346,2000_2500m
73,1989-11-01,2308.763794,1989,2308.763794,11,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
74,1989-12-01,3786.875,1989,3786.875,12,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
75,1990-01-01,6053.375,1989,6053.375,1,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
76,1990-02-01,7830.5,1989,7830.5,2,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
77,1990-03-01,9902.375,1989,9902.375,3,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
78,1990-04-01,9788.875,1989,9788.875,4,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
79,1990-05-01,9824.67968,1989,9824.67968,5,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
80,1990-10-01,904.875,1990,904.875,10,0.8513145965548505,1.0420881611080308,1,-116.138,51.3346,2000_2500m
81,1990-11-01,2569.64258,1990,2569.64258,11,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
82,1990-12-01,4949.0,1990,4949.0,12,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
83,1991-01-01,6744.625,1990,6744.625,1,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
84,1991-02-01,7610.5,1990,7610.5,2,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
85,1991-03-01,9809.25,1990,9809.25,3,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
86,1991-04-01,10751.5,1990,10751.5,4,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
87,1991-05-01,8954.35547,1990,8954.35547,5,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
88,1991-10-01,332.8928832956,1991,332.8928832956,10,0.5113327289211242,0.028410760338111435,1,-116.138,51.3346,2000_2500m
89,1991-11-01,1571.75,1991,1571.75,11,0.7379873073436084,0.6371526981050468,1,-116.138,51.3346,2000_2500m
90,1991-12-01,3009.875,1991,3009.875,12,0.7379873073436084,0.6371526981050468,1,-116.138,51.3346,2000_2500m
91,1992-01-01,4042.75,1991,4042.75,1,0.5793291024478695,0.2001774594990572,1,-116.138,51.3346,2000_2500m
92,1992-02-01,5580.125,1991,5580.125,2,0.828649138712602,0.9488405343440052,1,-116.138,51.3346,2000_2500m
93,1992-03-01,6484.5,1991,6484.5,3,0.5793291024478695,0.2001774594990572,1,-116.138,51.3346,2000_2500m
94,1992-04-01,6170.21875,1991,6170.21875,4,0.5113327289211242,0.028410760338111435,1,-116.138,51.3346,2000_2500m
95,1992-05-01,2986.644527,1991,2986.644527,5,0.21668177697189486,-0.783448893414017,1,-116.138,51.3346,2000_2500m
96,1992-10-01,459.0090333,1992,459.0090333,10,0.6246600181323663,0.31774290398788213,1,-116.138,51.3346,2000_2500m
97,1992-11-01,1222.375,1992,1222.375,11,0.443336355394379,-0.14251565992903922,1,-116.138,51.3346,2000_2500m
98,1992-12-01,2477.5,1992,2477.5,12,0.4886672710788758,-0.028410760338111296,1,-116.138,51.3346,2000_2500m
99,1993-01-01,4158.375,1992,4158.375,1,0.6019945602901179,0.2585131786442004,1,-116.138,51.3346,2000_2500m
100,1993-02-01,5252.875,1992,5252.875,2,0.7153218495013599,0.5689997626799213,1,-116.138,51.3346,2000_2500m
101,1993-03-01,7343.625,1992,7343.625,3,0.8513145965548505,1.0420881611080308,1,-116.138,51.3346,2000_2500m
